0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/js/menuscript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/cartStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/contactform/contactform.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:49:41 -0700] "GET /ProyectoFinalWeb/images/logoPalmera.PNG HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2024:00:50:24 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:50:24 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:50:24 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [29/Apr/2024:00:50:24 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:50:24 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:50:24 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:50:24 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - - [29/Apr/2024:00:50:24 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:50:24 -0700] "GET /manager/text/ HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [29/Apr/2024:00:50:27 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 200 7894
127.0.0.1 - - [29/Apr/2024:00:55:06 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:55:06 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:55:06 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:55:06 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:55:06 -0700] "GET /manager/text/list HTTP/1.1" 200 452
127.0.0.1 - admin [29/Apr/2024:00:55:07 -0700] "GET /manager/text/undeploy?path=/ProyectoFinalWeb HTTP/1.1" 200 86
127.0.0.1 - - [29/Apr/2024:00:59:55 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:59:55 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:59:55 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:59:55 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:00:59:55 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:00:59:55 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:00:59:55 -0700] "GET /manager/text/list HTTP/1.1" 200 326
127.0.0.1 - - [29/Apr/2024:01:00:24 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:00:24 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:00:24 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:00:24 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:00:24 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:00:24 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:01:00:24 -0700] "GET /manager/text/list HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:00:26 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:00:26 -0700] "GET /favicon.ico HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2024:01:01:18 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:01:18 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:01:18 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:01:18 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:01:18 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:01:18 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:01:01:18 -0700] "GET /manager/text/list HTTP/1.1" 200 326
127.0.0.1 - - [29/Apr/2024:01:01:57 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:01:57 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:01:57 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:01:57 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:01:57 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:01:57 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:01:01:57 -0700] "GET /manager/text/list HTTP/1.1" 200 326
127.0.0.1 - - [29/Apr/2024:01:02:58 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:02:58 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:02:58 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:02:58 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:02:58 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:02:58 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:01:02:58 -0700] "GET /manager/text/list HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:02 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:03 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:04 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:04 -0700] "GET /ProyectoFinalWeb/carritoCompras.jsp HTTP/1.1" 404 777
127.0.0.1 - - [29/Apr/2024:01:03:36 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:03:36 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:03:36 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:03:36 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:03:36 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:03:36 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - - [29/Apr/2024:01:03:36 -0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [29/Apr/2024:01:03:36 -0700] "GET /manager/text/ HTTP/1.1" 200 44
127.0.0.1 - admin [29/Apr/2024:01:03:36 -0700] "GET /manager/text/list HTTP/1.1" 200 326
127.0.0.1 - admin [29/Apr/2024:01:03:36 -0700] "GET /manager/text/list HTTP/1.1" 200 326
127.0.0.1 - admin [29/Apr/2024:01:03:36 -0700] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2Fmiche%2FAppData%2FLocal%2FTemp%2Fcontext11501783976232758204.xml&path=/ProyectoFinalWeb HTTP/1.1" 200 87
127.0.0.1 - admin [29/Apr/2024:01:03:36 -0700] "GET /manager/text/start?path=/ProyectoFinalWeb HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:37 -0700] "GET /ProyectoFinalWeb/ HTTP/1.1" 200 7847
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:37 -0700] "GET /ProyectoFinalWeb/style.css HTTP/1.1" 200 12018
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:37 -0700] "GET /ProyectoFinalWeb/images/gordita2.jpg HTTP/1.1" 200 80651
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:37 -0700] "GET /ProyectoFinalWeb/images/entomatadas.jpg HTTP/1.1" 200 206193
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:37 -0700] "GET /ProyectoFinalWeb/images/flautas.jpg HTTP/1.1" 200 134817
0:0:0:0:0:0:0:1 - - [29/Apr/2024:01:03:37 -0700] "GET /ProyectoFinalWeb/images/enchiladas.jpg HTTP/1.1" 200 260639
